Operator	Operator Domain	Found URL	Final URL
Barwon Health		https://www.barwonhealth.org.au/	https://www.barwonhealth.org.au/
BASScare		https://www.basscare.org.au/services/community-services/affordable-housing/	https://www.basscare.org.au/services/community-services/affordable-housing/
BASScare		https://www.basscare.org.au/services/community-services/affordable-housing/	https://www.basscare.org.au/services/community-services/affordable-housing/
RCA Villages		No website	No website
Aveo		https://www.aveo.com.au/retirement-villages/vic/mornington-peninsula/beachside-gardens/	https://www.aveo.com.au/retirement-villages/vic/mornington-peninsula/beachside-gardens/
Australian Unity		https://www.australianunity.com.au/?srsltid=AfmBOoroVZyanLhsbecO4Qci-6HQEiLh7Ghf2Op0fbIllgmdhzYjJuMU	https://www.australianunity.com.au/?srsltid=AfmBOoroVZyanLhsbecO4Qci-6HQEiLh7Ghf2Op0fbIllgmdhzYjJuMU
Australian Unity		https://www.australianunity.com.au/?srsltid=AfmBOoreeWKHB0PGJvZRcue8jmZgHB_KDYUZVpq3_CAWAicLiRX22fBx	https://www.australianunity.com.au/?srsltid=AfmBOoreeWKHB0PGJvZRcue8jmZgHB_KDYUZVpq3_CAWAicLiRX22fBx
Centennial Living		https://centennialliving.com.au	https://centennialliving.com.au
Centennial Living		https://centennialliving.com.au/village/beleura-village-mornington	https://centennialliving.com.au/village/beleura-village-mornington
Lifestyle Communities		https://www.lifestylecommunities.com.au/find-your-community/geelong	https://www.lifestylecommunities.com.au/find-your-community/geelong
Lions Club		https://lionsclubs.org.au/find-a-lions-club/	https://lionsclubs.org.au/find-a-lions-club/
RCA Villages		No website	No website
Country Club Living		https://countryclubliving.com.au/contact-us/	https://countryclubliving.com.au/contact-us/
Country Club Living		https://countryclubliving.com.au/bendigo-fields/	https://countryclubliving.com.au/bendigo-fields/
Anglican / Benetas		https://www.benetas.com.au/village/st-laurence-court	https://www.benetas.com.au/village/st-laurence-court
Anglican / Benetas		https://www.benetas.com.au/village/st-laurence-court	https://www.benetas.com.au/village/st-laurence-court
No operator		https://northeastdirectory.com.au/business-directory/11808/beolite-village	https://northeastdirectory.com.au/business-directory/11808/beolite-village
Berkeley Living		https://berkeleyliving.com.au	https://berkeleyliving.com.au
No operator		https://berryparkvillage.com.au	https://berryparkvillage.com.au
Ryman Healthcare		https://www.rymanhealthcare.com.au/retirement-villages/melbourne/bert-newton	https://www.rymanhealthcare.com.au/retirement-villages/melbourne/bert-newton
Australian Unity		https://www.australianunity.com.au/?srsltid=AfmBOoptUbK9ogqVzab92_O9TtFzCW8VhJPUXhkea0rarpk9Jgp0SL6V	https://www.australianunity.com.au/?srsltid=AfmBOoptUbK9ogqVzab92_O9TtFzCW8VhJPUXhkea0rarpk9Jgp0SL6V
Australian Unity		https://www.australianunity.com.au/?srsltid=AfmBOopf_-uk1cvcL9fGngOd1Cji0Is8gneINwcJg9dYYsq_SkETCMbU	https://www.australianunity.com.au/?srsltid=AfmBOopf_-uk1cvcL9fGngOd1Cji0Is8gneINwcJg9dYYsq_SkETCMbU
Royal Freemasons		https://www.royalfreemasons.org.au/continuing-our-growth/	https://www.royalfreemasons.org.au/continuing-our-growth/
Ryman Healthcare		https://www.rymanhealthcare.com.au/	https://www.rymanhealthcare.com.au/
No operator		No website	No website
BlueCross		https://bluecross.com.au	https://bluecross.com.au
Blue Hills Group		https://bluehillsresidences.com.au/	https://bluehillsresidences.com.au/
Blue Hills Group		https://bluehillsresidences.com.au/	https://bluehillsresidences.com.au/
Bolton Clarke		https://www.boltonclarke.com.au/living-options/retirement-living/callisto-place/	https://www.boltonclarke.com.au/living-options/retirement-living/callisto-place/
Aveo		https://www.aveo.com.au/retirement-villages/vic/melbourne/botanic-gardens/	https://www.aveo.com.au/retirement-villages/vic/melbourne/botanic-gardens/
No operator		No website	No website
Australian Unity		https://www.australianunity.com.au/-/media/rebrandcorporate/documents/australia-day-addresses/what-it-means-to-become-a-citizen.pdf?srsltid=AfmBOorFTJnFqK01si1XjwpdzZTwjYBjJUaSWUH-AH_ISGM5X36JNW3A	https://www.australianunity.com.au/-/media/rebrandcorporate/documents/australia-day-addresses/what-it-means-to-become-a-citizen.pdf?srsltid=AfmBOorFTJnFqK01si1XjwpdzZTwjYBjJUaSWUH-AH_ISGM5X36JNW3A
Australian Unity		https://www.australianunity.com.au/wealth/build-your-wealth/property-funds/property-income-fund?srsltid=AfmBOoqlbQCMbHaNbV5G8AmE4mgcsJy5pSbrxEIFocv7cKRRyXTIB934	https://www.australianunity.com.au/wealth/build-your-wealth/property-funds/property-income-fund?srsltid=AfmBOoqlbQCMbHaNbV5G8AmE4mgcsJy5pSbrxEIFocv7cKRRyXTIB934
Anglican / Benetas		https://www.benetas.com.au/village/bridgewater-lake	https://www.benetas.com.au/village/bridgewater-lake
Lifestyle Communities		https://www.lifestylecommunities.com.au/	https://www.lifestylecommunities.com.au/
No operator		No website	No website
Centennial Living		https://centennialliving.com.au/village/bundoora-village	https://centennialliving.com.au/village/bundoora-village
Australian Unity		https://www.australianunity.com.au/?srsltid=AfmBOopLGpAuD74F1rq73UO8R_YgzkhQhtu3Tn7Fem3gjw2JnoGN8t7J	https://www.australianunity.com.au/?srsltid=AfmBOopLGpAuD74F1rq73UO8R_YgzkhQhtu3Tn7Fem3gjw2JnoGN8t7J
No operator		No website	No website
